variations = 3;
samples = 15;
instructions = 32;
registers = 32;
opcodes = 2;

targetMin = 0.000000f;
targetMax = 6.283185f;

mode = FIRESTARTER_CODE;
units = 1;
process = 0;
population = 17408;
iterations = 256;
candidates = 16;
generations = 1;
precision = 0;
evolve = FIRESTARTER_EVOLVE_BEST;
attempts = 32;
seed = 0;
scale = 0.100000f;
startScale = 4.000000f;
startResult = 10.000000f;

FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   0  Best Generation:   0  Best=0.32356846  Result=0.3235684633  Seed=C0A9496B  Best Result=04630  Best Index=04630  Best Generation=00001  ResultHash=D9FB  ProgramHash=BD43
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   1  Best Generation:   1  Best=0.20093799  Result=0.2009379864  Seed=C0A9496C  Best Result=15368  Best Index=15368  Best Generation=00002  ResultHash=1725  ProgramHash=97D2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   2  Best Generation:   2  Best=0.13426326  Result=0.1342632622  Seed=C0A9496D  Best Result=02530  Best Index=02530  Best Generation=00003  ResultHash=28DC  ProgramHash=D3B2
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   3  Best Generation:   3  Best=0.11227715  Result=0.1122771502  Seed=C0A9496E  Best Result=11529  Best Index=11529  Best Generation=00003  ResultHash=FF08  ProgramHash=ABAD
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   4  Best Generation:   4  Best=0.07919765  Result=0.0791976452  Seed=C0A9496F  Best Result=05206  Best Index=05206  Best Generation=00004  ResultHash=CA37  ProgramHash=BB8C
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   5  Best Generation:   5  Best=0.06564367  Result=0.0656436682  Seed=C0A94970  Best Result=16390  Best Index=16390  Best Generation=00004  ResultHash=D715  ProgramHash=F314
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   6  Best Generation:   6  Best=0.05083372  Result=0.0508337170  Seed=C0A94971  Best Result=02584  Best Index=02584  Best Generation=00004  ResultHash=1270  ProgramHash=F111
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   7  Best Generation:   6  Best=0.05083372  Result=0.0508337170  Seed=C0A94972  Best Result=02584  Best Index=02584  Best Generation=00004  ResultHash=1270  ProgramHash=F111
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   8  Best Generation:   6  Best=0.05083372  Result=0.0508337170  Seed=C0A94973  Best Result=17141  Best Index=17141  Best Generation=00002  ResultHash=2A5D  ProgramHash=F111
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:   9  Best Generation:   9  Best=0.04983950  Result=0.0498394966  Seed=C0A94974  Best Result=06232  Best Index=06232  Best Generation=00003  ResultHash=0C8A  ProgramHash=11BB
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  10  Best Generation:  10  Best=0.04417306  Result=0.0441730618  Seed=C0A94975  Best Result=12610  Best Index=12610  Best Generation=00005  ResultHash=F08F  ProgramHash=2042
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  11  Best Generation:  11  Best=0.04059964  Result=0.0405996442  Seed=C0A94976  Best Result=09954  Best Index=09954  Best Generation=00002  ResultHash=1303  ProgramHash=1D26
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  12  Best Generation:  11  Best=0.04059964  Result=0.0405996442  Seed=C0A94977  Best Result=09954  Best Index=09954  Best Generation=00002  ResultHash=1303  ProgramHash=1D26
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  13  Best Generation:  11  Best=0.04059964  Result=0.0405996442  Seed=C0A94978  Best Result=17356  Best Index=17356  Best Generation=00006  ResultHash=50ED  ProgramHash=1D26
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  14  Best Generation:  11  Best=0.04059964  Result=0.0405996442  Seed=C0A94979  Best Result=17397  Best Index=17397  Best Generation=00002  ResultHash=3821  ProgramHash=1D26
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  15  Best Generation:  15  Best=0.03977954  Result=0.0397795439  Seed=C0A9497A  Best Result=14001  Best Index=14001  Best Generation=00003  ResultHash=41B8  ProgramHash=2042
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  16  Best Generation:  15  Best=0.03977954  Result=0.0397795439  Seed=C0A9497B  Best Result=14001  Best Index=14001  Best Generation=00003  ResultHash=41B8  ProgramHash=2042
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  17  Best Generation:  17  Best=0.03845072  Result=0.0384507179  Seed=C0A9497C  Best Result=12615  Best Index=12615  Best Generation=00005  ResultHash=204F  ProgramHash=3C4E
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  18  Best Generation:  18  Best=0.02803931  Result=0.0280393064  Seed=C0A9497D  Best Result=08098  Best Index=08098  Best Generation=00004  ResultHash=A9FE  ProgramHash=2042
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  19  Best Generation:  18  Best=0.02803931  Result=0.0280393064  Seed=C0A9497E  Best Result=08098  Best Index=08098  Best Generation=00004  ResultHash=A9FE  ProgramHash=2042
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  20  Best Generation:  20  Best=0.02534735  Result=0.0253473520  Seed=C0A9497F  Best Result=16955  Best Index=16955  Best Generation=00003  ResultHash=EADC  ProgramHash=389D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  21  Best Generation:  20  Best=0.02534735  Result=0.0253473520  Seed=C0A94980  Best Result=16955  Best Index=16955  Best Generation=00003  ResultHash=EADC  ProgramHash=389D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  22  Best Generation:  20  Best=0.02534735  Result=0.0253473520  Seed=C0A94981  Best Result=16955  Best Index=16955  Best Generation=00003  ResultHash=EADC  ProgramHash=389D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  23  Best Generation:  20  Best=0.02534735  Result=0.0253473520  Seed=C0A94982  Best Result=17270  Best Index=17270  Best Generation=00001  ResultHash=C44B  ProgramHash=389D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  24  Best Generation:  24  Best=0.02295631  Result=0.0229563117  Seed=C0A94983  Best Result=04444  Best Index=04444  Best Generation=00004  ResultHash=A0E0  ProgramHash=389D
FIRESTARTER_CODE:FIRESTARTER_EVOLVE_BEST  Generation:  25  Best Generation:  25  Best=0.02214826  Result=0.0221482571  Seed=C0A94984  Best Result=02507  Best Index=02507  Best Generation=00003  ResultHash=E2E6  ProgramHash=389D
